DateTime,AddedIPs,RemovedIPs
1506211631,10,12
1506215232,11,12
1506218831,6,8
1506222428,8,11
1506226035,5,12
1506229631,8,8
1506233228,11,6
1506236827,13,16
1506240427,9,8
1506244029,9,15
1506247633,9,14
1506251242,4,9
1506254836,10,9
1506258430,8,13
1506262046,6,9
1506265643,6,13
1506269240,11,13
1506272844,8,9
1506276444,12,5
1506280064,6,11
1506283645,9,9
1506287245,9,17
1506290847,9,9
1506294446,5,16
1506298051,11,35
1506301663,10,21
1506305236,10,19
1506308839,10,19
1506312439,6,22
1506316034,4,32
1506319626,5,23
1506323216,7,24
1506326821,6,21
1506330417,10,24
1506334031,8,31
1506337618,11,21
1506341218,13,16
1506344820,8,17
1506348423,10,14
1506352024,6,18
1506355635,9,12
1506359225,8,13
1506362826,6,15
1506366427,9,13
1506370036,6,13
1506373636,17,18
1506377240,14,15
1506380845,8,15
1506384436,12,18
1506388036,13,12
1506391635,9,11
1506395235,6,10
1506398819,11,14
1506402406,8,22
1506406009,8,20
1506409618,7,19
1506413212,10,13
1506416813,7,8
1506420431,8,18
1506424036,9,11
1506427654,5,16
1506431228,32,14
1506434833,145,8
1506438417,99,11
1506442033,87,10
1506445649,93,18
1506449288,45,8
1506452861,34,10
1506456453,35,16
1506460054,26,12
1506463658,34,11
1506467255,27,9
1506470856,30,11
1506474452,26,10
1506478051,22,4
1506481668,19,5
1506485236,14,12
1506488839,13,8
1506492448,9,8
1506496040,13,9
1506499642,13,9
1506503241,13,10
1506506838,18,14
1506510447,13,9
1506514069,14,6
1506517693,5,9
1506521267,12,14
1506524863,14,8
1506528456,7,13
1506532045,12,16
1506535663,23,18
1506539309,19,12
1506542896,17,16
1506546485,17,19
1506550074,17,23
1506553676,13,14
1506557271,15,16
1506560873,17,14
1506564475,12,10
1506568069,14,9
1506571655,10,12
1506575272,12,10
1506578875,3,11
1506582489,9,14
1506586080,10,11
1506589677,12,7
1506593256,15,17
1506596863,6,15
1506600467,10,8
1506604068,15,17
1506607666,12,5
1506611266,9,10
1506614859,7,6
1506618458,13,9
1506622066,8,16
1506625658,6,7
1506629263,5,11
1506632859,6,9
1506636453,15,7
1506640059,17,11
1506643653,6,13
1506647256,15,13
1506650878,10,12
1506654454,13,9
1506658039,6,17
1506661641,5,5
1506665289,6,6
1506668848,9,7
1506672441,6,13
1506676059,5,8
1506679656,7,9
1506683253,9,10
1506686893,11,11
1506690458,10,12
1506694053,14,10
1506697660,11,12
1506701254,10,8
1506704868,5,11
1506708463,10,14
1506712061,5,20
1506715670,6,15
1506719264,15,13
1506722867,11,16
1506726462,8,17
1506730065,4,17
1506733670,12,24
1506737262,9,13
1506740869,6,20
1506744451,8,10
1506748048,9,18
1506751646,7,15
1506755233,10,15
1506758829,5,20
1506762466,9,18
1506766121,12,10
1506769672,10,11
1506773255,11,13
1506776854,7,7
1506780439,40,14
1506784043,87,10
1506787653,85,11
1506791261,57,14
1506794857,59,14
1506798464,43,14
1506802062,44,15
1506805663,37,13
1506809261,26,17
1506812867,28,9
1506816470,25,12
1506820070,21,14
1506823677,21,12
1506827273,20,11
1506830861,9,13
1506834466,9,9
1506838056,9,11
1506841661,10,14
1506845254,16,12
1506848858,12,15
1506852467,20,10
1506856063,12,5
1506859670,7,9
1506863321,10,13
1506866873,17,15
1506870472,8,8
1506874072,16,19
1506877670,12,13
1506881399,11,16
1506884873,10,11
1506888483,11,15
1506892080,8,7
1506895693,23,13
1506899282,17,11
1506902877,10,13
1506906471,15,14
1506910083,10,6
1506913678,11,12
1506917277,5,7
1506920868,9,4
