DateTime,AddedIPs,RemovedIPs
1497565515,2,0
1497571509,1,0
1497574210,1,0
1497575709,1,0
1497576008,1,0
1497582609,1,0
1497584108,1,0
1497591609,1,0
1497599709,1,0
1497604209,1,0
1497635709,0,1
1497639608,1,0
1497655809,1,0
1497659709,1,0
1497667208,1,0
1497688810,1,0
1497703808,0,1
1497710709,1,0
1497713709,1,0
1497725108,0,1
1497742509,1,0
1497746709,1,0
1497780309,2,0
1497782409,1,0
1497812109,1,0
1497825610,0,1
1497826209,0,1
1497828309,0,1
1497834309,0,1
1497843309,1,0
1497845109,1,0
1497850210,1,0
1497869110,0,1
1497888010,1,0
1497891009,0,1
1497897010,1,0
1497906909,1,0
1497908709,0,1
1497957009,0,1
1497963308,0,1
1497970214,1,0
1497983409,1,0
1497991509,0,1
1498018810,0,1
1498023309,1,0
1498029612,1,0
1498042511,0,1
1498045809,1,0
1498052410,0,1
1498058711,0,1
1498120809,1,0
1498136709,1,0
1498139409,1,0
1498163409,1,0
1498165508,0,1
1498170009,1,0
1498256409,0,1
1498263009,1,0
1498268110,1,0
1498290309,2,0
1498326609,0,1
1498328714,1,0
1498370109,1,0
1498388408,0,1
1498410908,1,0
1498412409,1,0
1498413909,1,0
1498426209,0,1
1498449909,1,0
1498468209,0,1
1498476609,1,0
1498482009,1,0
1498488309,0,1
1498501810,1,0
1498513809,1,0
1498523409,1,0
1498536008,0,1
1498546809,0,1
1498547409,0,1
1498547709,2,0
1498574109,0,1
1498591513,1,0
1498643409,1,0
1498644609,0,1
1498645209,0,1
1498664711,1,0
1498666209,1,0
1498720509,1,0
1498735209,1,0
1498739116,0,1
1498740909,0,1
1498746009,1,0
1498748409,1,0
1498753810,1,0
1498786510,1,0
1498792509,1,0
1498802110,0,1
1498803011,1,0
1498806010,1,0
1498806309,0,1
1498811710,1,0
1498820709,1,0
1498827909,0,1
1498833610,1,0
1498844709,1,0
1498853709,1,0
1498891509,0,1
1498899009,1,0
1498906810,1,0
1498942510,1,0
1498962009,0,1
1499090411,0,1
1499092810,0,1
1499098510,0,1
1499101209,0,1
1499117709,0,1
1499154009,0,1
1499376611,0,1
1499429710,0,1
1499636710,1,0
1499649914,1,0
1499656509,1,0
1499673309,0,1
1499673910,1,0
1499683509,0,1
1499700311,1,0
1499708709,0,1
1499731810,1,0
1499733610,1,0
1499774410,0,1
1499778009,1,0
1499785509,0,1
1499796609,0,1
1499802009,1,0
1499838009,1,0
1499861410,0,1
1499868610,1,0
1499873410,0,1
1499873709,0,1
1499877011,1,0
1499878209,1,0
1499886609,0,1
1499908510,1,0
1499922009,1,0
1499922311,1,0
1499927410,0,1
1499955010,1,0
1499967010,1,0
1500023409,0,1
1500029710,0,1
1500069010,0,1
1500074410,1,0
1500095411,0,1
1500096610,1,0
1500106809,1,0
1500108609,1,0
1500149409,0,1
1500151810,1,0
1500239710,1,0
1500247210,1,0
1500282910,2,0
1500291910,1,0
1500298523,1,0
1500346810,1,0
1500364209,1,0
1500386110,1,0
1500386409,0,1
1500387310,1,0
1500393310,1,0
1500472210,1,0
1500502810,1,0
1500514510,1,0
1500520810,2,0
1500523810,1,0
1500534909,1,0
1500546315,1,0
1500550810,1,0
1500574510,0,1
1500621309,1,0
1500643810,1,0
1500644410,1,0
1500778211,1,0
1500819913,1,0
1500867610,1,0
1500872410,1,0
1500882010,1,0
1500886811,1,0
1500895211,0,1
1500897010,0,1
1500911710,1,0
1500927610,0,1
1500981011,0,1
1500982211,1,0
1501001710,1,0
1501013410,1,0
1501135212,1,0
1501202413,1,0
1501209012,1,0
1501219523,0,1
1501238713,1,0
1501242012,0,1
1501243513,1,0
1501251312,0,1
1501261213,1,0
1501279214,1,0
1501281913,0,1
1501288214,1,0
1501302913,1,0
1501308912,0,1
1501361412,1,0
1501361713,0,1
1501367713,0,0
1501373112,1,0
1501383913,0,1
1501497013,1,0
1501515312,1,0
1501538113,1,0
1501574413,0,1
1501614613,0,1
1501650013,0,1
1501652112,0,1
1501753212,0,1
1501858213,0,1
1501950913,0,1
1501968612,0,3
1502388616,0,1
1502486114,0,2
1502486715,0,1
1502487013,0,2
1502487314,0,1
1502523914,2,0
1502525413,1,0
1502537714,2,0
1502589915,1,0
1502631914,1,0
1502655313,2,0
1502697014,0,1
1502702414,1,0
1502704813,1,0
1502705713,1,0
1502721015,0,1
1502722213,0,1
1502748913,1,0
1502749214,0,1
1502772314,0,1
1502778614,0,1
1502800213,0,1
1502800814,1,0
1502805614,1,0
1502810714,0,1
1502813414,1,0
1502814915,1,0
1502818515,1,0
1502819714,0,1
1502826016,0,1
1502838613,0,1
1502839814,1,0
1502886015,1,0
1502901613,0,1
1502923214,1,0
1502952313,1,0
1502965213,1,0
1502992214,1,0
1503005123,0,1
1503039015,0,1
1503049214,1,0
1503060913,0,1
1503085515,1,0
1503094814,1,0
1503135014,0,1
1503139214,1,0
1503159919,1,0
1503162014,2,0
1503176114,1,0
1503195015,1,0
1503196814,1,0
1503288014,1,0
1503305713,0,1
1503307816,1,0
1503308714,1,0
1503310514,1,0
1503321614,1,0
1503326415,1,0
1503341114,1,0
1503354014,0,1
1503362114,1,0
1503364815,1,0
1503369914,0,1
1503440731,1,0
1503443714,1,0
1503468315,0,1
1503468614,1,0
1503488714,0,1
1503491116,1,0
1503518413,1,0
1503519015,0,1
1503564914,1,0
1503590714,0,1
1503594314,1,0
1503598514,1,0
1503615915,1,0
1503618016,1,0
1503618315,1,0
1503619215,0,1
1503640214,1,0
1503641414,0,1
1503642015,1,0
1503659413,1,0
1503672314,0,1
1503674114,1,0
1503677115,1,0
1503680116,1,0
1503741314,1,0
1503742815,0,1
1503769215,1,0
1503771013,1,0
1503776715,1,0
1503781815,1,0
1503812415,1,0
1503847214,1,0
1503859515,1,0
1503904215,0,1
1503910514,0,1
1503917115,0,1
1503918614,1,0
1503926719,2,0
1503937813,2,0
1503945914,0,1
1503957618,1,0
1503975314,1,0
1503993614,1,0
1504000816,0,1
1504015514,1,0
1504039815,0,1
1504056014,1,0
1504056614,1,0
1504107615,0,1
1504169713,0,1
1504176314,0,1
1504179614,0,1
1504282213,0,1
1504298416,0,1
1504606515,0,1
1504878913,0,1
1505213415,0,1
1505385013,0,1
1505429115,0,0
1505431216,0,0
1505465414,0,1
1505702715,0,1
1505800215,0,1
1505808615,0,1
1505867115,0,1
1505942414,0,1
1505996417,0,1
1506011715,0,1
1506012014,0,2
1506012613,0,1
1506012913,0,2
1506013214,0,2
1506013814,0,2
1506018914,0,2
1506019215,0,3
1506350113,0,1
1506412514,0,1
1506555614,0,1
1506592815,0,1
1506597615,0,1
1506599114,0,1
1506646815,0,2
1506691215,0,1
