DateTime,AddedIPs,RemovedIPs
1504235069,2,0
1504242757,3,0
1504296757,1,0
1504315952,1,0
1504323631,1,0
1504331305,1,0
1504354357,1,0
1504358189,2,0
1504369718,1,0
1504408587,3,0
1504416269,1,0
1504420120,2,0
1504439553,1,0
1504454927,1,0
1504538667,1,0
1504550193,3,0
1504581643,1,0
1504593145,1,0
1504612612,1,0
1504624115,1,0
1504627964,1,0
1504631817,1,0
1504662762,1,0
1504666596,2,0
1504674276,2,0
1504705258,1,0
1504716379,1,0
1504720097,1,0
1504727792,1,0
1504735482,2,0
1504754662,1,0
1504762371,1,0
1504773884,1,0
1504832907,1,0
1504894595,1,0
1505027315,1,0
1505034972,1,0
1505038842,1,0
1505088757,1,0
1505096431,1,0
1505107955,1,0
1505150447,1,0
1505158354,1,0
1505166066,1,0
1505181394,1,0
1505216198,1,0
1505223879,1,0
1505227719,1,0
1505235648,2,0
1505256023,1,0
1505263715,2,0
1505286768,1,0
1505290592,2,0
1505294434,1,0
1505302115,1,0
1505305963,1,0
1505317461,1,0
1505329793,1,0
1505337397,2,0
1505356848,1,0
1505360677,2,0
1505372193,1,0
1505376033,4,0
1505391419,1,0
1505406767,1,0
1505418263,1,0
1505422361,1,1
1505426194,1,0
1505430071,0,0
1505437715,1,1
1505449242,0,1
1505464631,0,1
1505487848,0,1
1505491972,1,0
1505526947,0,1
1505530828,0,1
1505542372,0,1
1505646288,1,0
1505665498,2,0
1505669330,1,1
1505673151,1,0
1505684914,0,1
1505688753,2,1
1505692621,1,0
1505700514,0,1
1505719729,1,0
1505729340,0,1
1505738073,1,0
1505757161,1,0
1505761257,0,2
1505769170,0,1
1505784540,0,1
1505835188,1,0
1505842844,1,0
1505850885,0,1
1505881236,1,0
1505885074,2,2
1505904505,1,0
1505909362,0,1
1505916990,1,0
1505920843,0,1
1505932330,1,0
1505940048,0,1
1505947982,1,1
1505951787,2,1
1505978929,2,1
1505986610,1,0
1505998124,1,0
1506013715,1,2
1506017463,1,0
1506025358,0,1
1506029096,1,0
1506040612,2,1
1506044439,1,0
1506090526,1,0
1506106100,0,1
1506109941,1,1
1506113787,0,2
1506117635,2,1
1506129176,0,1
1506152452,1,1
1506160115,0,1
1506167797,0,1
1506194934,1,0
1506198770,1,0
1506202596,1,0
1506214357,0,1
1506229709,0,1
1506237670,0,1
1506245329,0,1
1506249167,1,0
1506253015,1,1
1506256869,0,1
1506260693,0,1
1506264523,1,0
1506280202,1,0
1506283962,1,0
1506287824,2,1
1506291864,0,1
1506295722,1,0
1506299551,3,2
1506303415,2,1
1506307225,0,1
1506318750,1,0
1506326495,0,1
1506330291,1,0
1506341782,1,1
1506350010,1,0
1506361727,0,1
1506365555,2,2
1506377076,1,1
1506380922,1,0
1506384746,2,0
1506392435,1,0
1506396275,2,0
1506407793,1,0
1506411639,0,1
1506419312,1,0
1506434709,0,1
1506457971,1,2
1506461918,0,1
1506481015,1,2
1506484862,0,1
1506496370,0,1
1506504030,2,1
1506511712,1,0
1506523231,2,0
1506530920,1,0
1506534756,1,0
1506546273,1,0
1506550118,0,1
1506561658,1,0
1506569583,1,1
1506577254,1,0
1506596918,1,1
1506600760,4,3
1506604596,3,0
1506612275,1,0
1506616105,2,0
1506619986,1,0
1506623805,1,0
1506635306,0,1
1506640011,2,2
1506647794,1,0
1506655466,1,1
1506659307,1,2
1506663197,0,1
1506667231,1,2
1506678779,0,1
1506682587,1,0
1506690283,1,1
1506705863,1,2
1506709724,0,1
1506713562,0,3
1506733976,0,1
1506749315,0,3
