DateTime,AddedIPs,RemovedIPs
1505762225,3,0
1505766051,2,1
1505769911,0,1
1505777406,0,1
1505785346,2,0
1505793229,0,1
1505800883,1,1
1505804737,1,2
1505808581,1,1
1505824481,1,0
1505828563,1,1
1505832327,0,1
1505843839,1,2
1505847990,1,3
1505851757,0,1
1505855594,0,3
1505863292,2,1
1505871011,0,2
1505878696,1,2
1505886309,0,2
1505890171,0,2
1505894021,1,6
1505897872,0,3
1505901797,1,2
1505905657,2,4
1505909442,1,0
1505917037,0,3
1505920886,1,3
1505924781,1,1
1505936293,0,1
1505940126,2,0
1505955759,1,1
1505959580,1,1
1505963386,1,0
1505979012,1,2
1505986701,2,3
1505998190,0,4
1506013780,2,3
1506017531,2,1
1506021230,4,2
1506025433,1,1
1506033076,1,2
1506044553,1,1
1506048349,1,2
1506052212,0,1
1506063735,0,3
1506067584,0,2
1506071386,0,4
1506079044,0,4
1506086765,0,1
1506102258,0,1
1506106166,1,3
1506110048,0,3
1506113848,1,1
1506117778,2,3
1506125399,15,9
1506129242,4,0
1506133060,4,2
1506136970,1,1
1506140822,3,1
1506144645,2,0
1506148514,3,3
1506152610,2,2
1506160188,3,4
1506164038,4,0
1506167897,0,1
1506171746,1,0
1506175833,10,0
1506179639,3,2
1506183487,2,2
1506187335,8,2
1506191194,2,0
1506195019,3,0
1506198843,4,0
1506202662,4,0
1506210342,6,1
1506214394,3,2
1506218204,2,3
1506222071,3,0
1506225909,1,0
1506229736,2,0
1506233676,5,3
1506237783,2,2
1506241629,1,0
1506245449,2,3
1506284069,31,13
1506287936,8,1
1506291891,1,0
1506295759,3,1
1506299584,4,1
1506303500,1,0
1506307259,6,1
1506311102,2,1
1506314965,3,1
1506318784,1,1
1506322653,2,0
1506330332,4,8
1506334200,0,1
1506337976,1,0
1506341809,4,1
1506345660,0,3
1506350123,2,0
1506354066,8,3
1506357943,9,9
1506361764,1,0
1506365594,1,4
1506369458,2,0
1506377112,1,1
1506392480,1,0
1506396345,1,1
1506400228,0,2
1506403990,1,5
1506411672,1,5
1506415507,1,2
1506419389,5,7
1506423196,0,1
1506427077,5,6
1506430926,0,1
1506438580,4,3
1506446260,2,2
1506450377,2,4
1506454155,0,3
1506462032,1,3
1506465718,0,3
1506469623,0,3
1506473432,0,1
1506477253,0,5
1506481161,0,3
1506485057,0,4
1506488819,0,1
1506492580,2,5
1506496473,4,10
1506500256,1,3
1506507940,2,4
1506511760,4,1
1506515623,3,3
1506519454,1,3
1506531052,1,7
1506538634,2,2
1506542488,0,3
1506546321,0,3
1506554008,0,1
1506557826,0,2
1506565772,1,2
1506569751,1,3
1506573497,1,1
1506577342,0,8
1506581121,0,3
1506584956,0,2
1506588806,1,2
1506597006,0,7
1506600837,0,4
1506604658,1,3
1506608562,1,1
1506616155,1,1
1506620098,3,4
1506623886,1,0
1506627665,4,2
1506644007,1,2
1506647843,1,0
1506651723,1,3
1506659347,0,1
1506663375,2,6
1506667269,4,4
1506675015,2,12
1506678869,1,1
1506682629,0,2
1506690357,1,0
1506698007,0,1
1506702092,1,0
1506713612,2,0
1506717469,6,0
1506721279,7,0
1506726041,21,6
1506729949,2,3
1506734067,2,1
1506737881,1,1
1506741788,2,3
1506753256,1,3
1506757128,1,1
1506760874,2,3
1506768822,4,1
1506772657,3,0
1506776557,3,1
1506780418,5,1
1506784237,2,1
1506788018,5,3
1506791897,10,0
1506795785,8,0
1506799541,10,4
1506900869,38,17
1506904696,1,1
1506908487,1,1
1506912312,6,2
