DateTime,Entries,UniqueIPs
1506490585,2515,2515
1506491555,2513,2513
1506492506,2512,2512
1506493457,2512,2512
1506494432,2521,2521
1506495385,2519,2519
1506496347,2518,2518
1506497304,2516,2516
1506498259,2506,2506
1506499238,2507,2507
1506500183,2510,2510
1506501143,2519,2519
1506502122,2511,2511
1506503077,2507,2507
1506504018,2519,2519
1506504987,2510,2510
1506505946,2514,2514
1506506907,2513,2513
1506507863,2523,2523
1506508826,2515,2515
1506509795,2514,2514
1506510745,2507,2507
1506511699,2500,2500
1506513922,2493,2493
1506514826,2505,2505
1506515790,2509,2509
1506516742,2512,2512
1506517718,2514,2514
1506518669,2515,2515
1506519632,2514,2514
1506520584,2512,2512
1506521582,2513,2513
1506522501,2503,2503
1506523464,2503,2503
1506524431,2495,2495
1506525397,2492,2492
1506526345,2477,2477
1506527563,2476,2476
1506528494,2482,2482
1506529459,2485,2485
1506530439,2475,2475
1506531407,2467,2467
1506532360,2463,2463
1506533306,2464,2464
1506534266,2462,2462
1506535230,2467,2467
1506536205,2485,2485
1506537140,2493,2493
1506538118,2501,2501
1506539082,2500,2500
1506540022,2500,2500
1506540999,2500,2500
1506541931,2495,2495
1506542935,2502,2502
1506543854,2511,2511
1506544843,2520,2520
1506545784,2520,2520
1506546755,2521,2521
1506547700,2517,2517
1506548671,2516,2516
1506549639,2518,2518
1506550606,2522,2522
1506551537,2545,2545
1506552507,2552,2552
1506553464,2554,2554
1506554430,2566,2566
1506555381,2554,2554
1506556353,2553,2553
1506557295,2552,2552
1506558270,2552,2552
1506559223,2556,2556
1506560181,2551,2551
1506561148,2544,2544
1506562103,2553,2553
1506563063,2560,2560
1506564082,2565,2565
1506565229,2557,2557
1506566175,2552,2552
1506567140,2549,2549
1506568106,2544,2544
1506569054,2541,2541
1506570034,2537,2537
1506570971,2530,2530
1506571976,2521,2521
1506572901,2531,2531
1506573884,2547,2547
1506574838,2540,2540
1506575801,2550,2550
1506576751,2546,2546
1506577709,2546,2546
1506578661,2546,2546
1506579629,2549,2549
1506580583,2548,2548
1506581557,2545,2545
1506582505,2545,2545
1506583473,2552,2552
1506584421,2565,2565
1506585390,2564,2564
1506586347,2570,2570
1506587296,2565,2565
1506588267,2569,2569
1506589265,2568,2568
1506590189,2565,2565
1506591141,2571,2571
1506593337,2581,2581
1506594509,2586,2586
1506595456,2583,2583
1506596442,2586,2586
1506597408,2580,2580
1506598846,2568,2568
1506599776,2560,2560
1506600746,2563,2563
1506601691,2578,2578
1506602680,2600,2600
1506603633,2600,2600
1506604580,2600,2600
1506605548,2598,2598
1506606528,2597,2597
1506607467,2600,2600
1506608413,2613,2613
1506609386,2619,2619
1506610348,2617,2617
1506611307,2619,2619
1506612255,2617,2617
1506613213,2630,2630
1506614199,2638,2638
1506615150,2642,2642
1506616094,2645,2645
1506617058,2648,2648
1506618043,2645,2645
1506618987,2648,2648
1506619959,2664,2664
1506620915,2668,2668
1506621870,2652,2652
1506622830,2618,2618
1506623784,2611,2611
1506624735,2581,2581
1506625722,2577,2577
1506626655,2573,2573
1506627624,2585,2585
1506628572,2582,2582
1506629568,2574,2574
1506630495,2573,2573
1506631463,2576,2576
1506632437,2589,2589
1506633403,2593,2593
1506634347,2606,2606
1506635294,2624,2624
1506636267,2634,2634
1506637234,2637,2637
1506638196,2635,2635
1506640400,2636,2636
1506641548,2644,2644
1506642504,2653,2653
1506643467,2653,2653
1506644438,2674,2674
1506645390,2676,2676
1506646368,2697,2697
1506647295,2711,2711
1506648261,2720,2720
1506649224,2725,2725
1506650186,2753,2753
1506651150,2768,2768
1506652106,2775,2775
1506653066,2765,2765
1506654037,2760,2760
1506654979,2761,2761
1506655965,2783,2783
1506656904,2799,2799
1506657868,2810,2810
1506658815,2822,2822
1506659805,2828,2828
1506660736,2845,2845
1506661703,2867,2867
1506662664,2877,2877
1506663888,2896,2896
1506664833,2899,2899
1506665795,2909,2909
1506666753,2917,2917
1506667711,2931,2931
1506668666,2932,2932
1506669625,2938,2938
1506670596,2941,2941
1506671538,2946,2946
1506672505,2932,2932
1506673470,2933,2933
1506674422,2922,2922
1506675390,2920,2920
1506676360,2921,2921
1506677302,2871,2871
1506678266,2840,2840
1506679248,2942,2942
1506680203,2959,2959
1506681158,2985,2985
1506682106,3001,3001
1506683082,3004,3004
1506684029,3008,3008
1506684979,3003,3003
1506685942,2990,2990
1506686915,2986,2986
1506687857,2977,2977
1506688835,2957,2957
1506689779,2934,2934
1506690765,2887,2887
1506691704,2881,2881
1506692661,2925,2925
1506693623,2934,2934
1506694614,2938,2938
1506695558,2958,2958
1506696503,2970,2970
1506697464,2986,2986
1506698439,2991,2991
1506699373,2990,2990
1506700347,2996,2996
1506701567,3010,3010
1506702521,2991,2991
1506703482,2984,2984
1506704431,2972,2972
1506705393,2964,2964
1506706372,2959,2959
1506707311,2948,2948
1506708265,2874,2874
1506709235,2938,2938
1506710204,2932,2932
1506711148,2933,2933
1506712102,2942,2942
1506713065,2933,2933
1506714028,2929,2929
1506714971,2931,2931
1506715962,2940,2940
1506716903,2948,2948
1506717870,2949,2949
1506718826,2955,2955
1506719811,2960,2960
1506720737,2950,2950
1506721711,2949,2949
1506722668,2947,2947
1506723661,2946,2946
1506724597,2950,2950
1506726794,2956,2956
1506727720,2953,2953
1506728665,2955,2955
1506729624,2957,2957
1506730615,2952,2952
1506731551,2950,2950
1506732500,2957,2957
1506733467,2966,2966
1506734446,2975,2975
1506735373,2982,2982
1506736360,2992,2992
1506737295,2990,2990
1506738281,3002,3002
1506739230,2993,2993
1506740188,2980,2980
1506741141,2978,2978
1506742379,2960,2960
1506743297,2970,2970
1506744268,2977,2977
1506745217,2982,2982
1506746212,2984,2984
1506747132,3001,3001
1506748116,3006,3006
1506749065,2995,2995
1506750043,2984,2984
1506750975,2974,2974
1506751953,2967,2967
1506752892,2967,2967
1506753881,2967,2967
1506754824,2971,2971
1506755792,2969,2969
1506756735,2981,2981
1506757729,2992,2992
1506758668,2999,2999
1506759630,3004,3004
1506760575,3010,3010
1506761570,3011,3011
1506762512,3024,3024
1506763468,3031,3031
1506764436,3025,3025
1506765387,3022,3022
1506766345,3014,3014
1506767301,3013,3013
1506768269,3014,3014
1506769403,2999,2999
1506770435,2991,2991
1506771452,2980,2980
1506772577,2992,2992
1506773577,2989,2989
1506774491,2991,2991
1506775467,2992,2992
1506776432,2995,2995
1506777432,3017,3017
1506778346,3034,3034
1506779307,3035,3035
1506780263,3033,3033
1506781276,3029,3029
1506782184,3035,3035
1506783149,3025,3025
1506784094,3020,3020
1506785061,3012,3012
1506786023,3002,3002
1506787005,3013,3013
1506787952,3019,3019
1506788910,3020,3020
1506789854,3021,3021
1506790865,3018,3018
1506791772,3011,3011
1506792757,3006,3006
1506793696,3008,3008
1506794685,3022,3022
1506795637,3018,3018
1506796837,3026,3026
1506797771,3014,3014
1506798761,3010,3010
1506799772,3000,3000
1506801382,2997,2997
1506802932,2998,2998
1506804028,3007,3007
1506805255,3006,3006
1506806210,2998,2998
