DateTime,Entries,UniqueIPs
1506444722,3069,3150
1506445921,3068,3149
1506446521,3069,3150
1506447722,3070,3151
1506448922,3068,3149
1506449522,3066,3147
1506450121,3067,3148
1506451322,3071,3152
1506451928,3071,3153
1506452522,3072,3154
1506453121,3075,3157
1506453721,3074,3156
1506454922,3075,3157
1506456122,3103,3187
1506456722,3103,3186
1506457321,3105,3189
1506458522,3101,3185
1506459121,3102,3186
1506459721,3103,3187
1506460322,3104,3188
1506460921,3106,3190
1506462122,3102,3184
1506462721,3106,3188
1506463321,3109,3191
1506464521,3106,3188
1506465721,3103,3185
1506466922,3111,3192
1506467521,3110,3191
1506468121,3110,3192
1506468721,3109,3191
1506469321,3110,3192
1506469922,3102,3183
1506470522,3098,3179
1506471122,3124,3206
1506471721,3133,3218
1506472921,3136,3220
1506473522,3132,3216
1506474122,3142,3226
1506475321,3149,3233
1506475921,3149,3233
1506476522,3146,3230
1506477121,3148,3232
1506477722,3165,3251
1506478921,3164,3247
1506479521,3163,3246
1506480121,3164,3247
1506480722,3161,3244
1506481321,3160,3243
1506482522,3156,3238
1506483721,3155,3237
1506484322,3174,3257
1506484922,3175,3258
1506485521,3176,3259
1506486121,3175,3258
1506487321,3172,3255
1506488522,3170,3254
1506489121,3169,3253
1506489722,3199,3283
1506490922,3201,3285
1506491521,3200,3284
1506492122,3199,3283
1506492722,3196,3280
1506493922,3198,3282
1506494521,3195,3279
1506495121,3197,3281
1506495722,3196,3281
1506496921,3195,3280
1506498121,3191,3276
1506498722,3199,3284
1506499321,3200,3285
1506500522,3215,3302
1506501121,3230,3317
1506501722,3234,3321
1506502921,3235,3318
1506504122,3234,3314
1506505922,3232,3312
1506506523,3252,3332
1506507722,3260,3340
1506509522,3259,3339
1506510722,3257,3337
1506511322,3250,3330
1506513721,3247,3327
1506514921,3246,3326
1506516122,3255,3335
1506517922,3254,3334
1506519722,3255,3335
1506520921,3261,3342
1506523321,3265,3347
1506524522,3266,3347
1506525722,3263,3344
1506526922,3264,3346
1506528122,3261,3343
1506528722,3263,3345
1506529322,3263,3345
1506530522,3259,3341
1506532922,3262,3346
1506534122,3258,3343
1506535321,3256,3341
1506535922,3254,3339
1506536521,3254,3339
1506537721,3256,3341
1506538322,3254,3338
1506540721,3250,3334
1506541322,3249,3332
1506542522,3233,3313
1506543122,3253,3335
1506543722,3260,3342
1506544921,3266,3348
1506546122,3267,3351
1506547322,3268,3353
1506548521,3267,3352
1506549122,3268,3354
1506549721,3269,3355
1506550921,3272,3358
1506551521,3272,3358
1506552121,3274,3360
1506552722,3268,3354
1506553322,3267,3353
1506553922,3268,3354
1506554522,3281,3367
1506555721,3287,3374
1506556922,3288,3375
1506557522,3283,3370
1506558123,3284,3371
1506558721,3287,3375
1506560523,3284,3372
1506561721,3293,3382
1506562322,3288,3376
1506562922,3289,3376
1506563521,3286,3372
1506564122,3281,3367
1506565322,3299,3386
1506566521,3300,3387
1506567722,3301,3388
1506568921,3297,3384
1506570122,3293,3379
1506571322,3302,3389
1506571922,3305,3392
1506572521,3306,3392
1506573721,3301,3387
1506574921,3302,3388
1506575522,3301,3386
1506576122,3312,3397
1506577321,3308,3394
1506578522,3299,3385
1506579722,3300,3386
1506580322,3299,3385
1506580922,3298,3384
1506581521,3299,3385
1506583322,3293,3379
1506584522,3291,3377
1506585121,3281,3368
1506585721,3269,3355
1506586921,3265,3352
1506587522,3266,3353
1506588121,3257,3344
1506588721,3252,3339
1506589321,3247,3333
1506590522,3263,3349
1506591721,3273,3360
1506592921,3298,3387
1506593521,3303,3392
1506594121,3298,3387
1506594722,3305,3394
1506595322,3301,3390
1506596523,3281,3369
1506597121,3285,3375
1506597722,3279,3370
1506598321,3280,3371
1506598921,3277,3367
1506600122,3278,3369
1506601321,3279,3370
1506602522,3271,3366
1506603721,3277,3374
1506604922,3275,3373
1506606122,3276,3374
1506606721,3275,3373
1506608522,3276,3374
1506609121,3302,3402
1506609722,3307,3407
1506610321,3309,3408
1506610922,3310,3409
1506612122,3311,3410
1506612722,3313,3412
1506613921,3315,3414
1506614522,3314,3412
1506615122,3315,3413
1506615721,3330,3429
1506616322,3329,3428
1506616922,3331,3430
1506618121,3326,3425
1506618722,3328,3427
1506619322,3334,3433
1506620521,3335,3434
1506621721,3339,3438
1506622321,3350,3449
1506622922,3351,3450
1506624122,3349,3448
1506625322,3351,3450
1506625922,3353,3452
1506627721,3339,3434
1506629522,3337,3431
1506630122,3332,3426
1506631321,3323,3415
1506632521,3327,3419
1506633722,3321,3413
1506634922,3327,3419
1506635521,3323,3415
1506636121,3323,3415
1506636721,3325,3417
1506637322,3325,3417
1506637922,3324,3416
1506638521,3325,3417
1506639721,3321,3413
1506640922,3319,3411
1506641521,3316,3407
1506642122,3321,3412
1506642721,3332,3422
1506644521,3330,3420
1506645123,3328,3418
1506645722,3327,3417
1506646321,3329,3419
1506646921,3335,3425
1506648121,3328,3418
1506649322,3329,3419
1506649922,3324,3414
1506650521,3318,3408
1506651721,3324,3414
1506652321,3325,3415
1506652921,3326,3416
1506653521,3322,3412
1506654122,3318,3408
1506656521,3311,3400
1506657721,3306,3395
1506658922,3309,3399
1506659522,3313,3403
1506660122,3310,3400
1506660722,3313,3403
1506661322,3315,3405
1506661922,3308,3398
1506663121,3307,3397
1506663722,3312,3402
1506664321,3305,3394
1506664922,3311,3400
1506666122,3309,3398
1506666722,3309,3398
1506667921,3308,3397
1506668522,3311,3401
1506669721,3306,3396
1506670322,3308,3398
1506672121,3303,3393
1506672721,3302,3392
1506673321,3293,3383
1506674522,3292,3382
1506675122,3289,3378
1506675721,3296,3385
1506677521,3289,3378
1506678122,3291,3378
1506679321,3287,3374
1506679921,3279,3366
1506680522,3280,3367
1506681121,3312,3399
1506681721,3321,3408
1506682922,3323,3410
1506684121,3327,3414
1506685322,3327,3414
1506686522,3328,3415
1506687122,3329,3416
1506687722,3330,3417
1506688921,3342,3429
1506690121,3341,3428
1506692521,3338,3425
1506693722,3346,3433
1506694322,3352,3440
1506694921,3353,3441
1506696121,3355,3443
1506697322,3354,3441
1506697921,3355,3442
1506698521,3348,3435
1506699722,3345,3431
1506700921,3360,3446
1506701522,3365,3451
1506702121,3361,3447
1506702722,3363,3449
1506703322,3366,3452
1506704522,3364,3450
1506705721,3358,3444
1506706321,3356,3442
1506706922,3363,3449
1506708121,3392,3482
1506709321,3383,3473
1506709921,3385,3475
1506710522,3392,3482
1506711722,3389,3479
1506712922,3387,3477
1506714121,3386,3476
1506714721,3382,3472
1506715322,3385,3476
1506716521,3381,3471
1506717722,3382,3472
1506718322,3379,3469
1506718921,3380,3470
1506720122,3386,3477
1506721322,3389,3480
1506721921,3385,3476
1506723722,3387,3478
1506724321,3389,3480
1506726722,3385,3476
1506727321,3385,3476
1506727922,3382,3474
1506728522,3379,3471
1506729722,3377,3469
1506730923,3370,3461
1506732122,3371,3462
1506732722,3364,3455
1506733322,3365,3456
1506734522,3360,3451
1506735121,3361,3452
1506735722,3359,3450
1506736322,3365,3456
1506736921,3359,3449
1506737522,3348,3438
1506739322,3345,3435
1506740522,3349,3439
1506741122,3361,3453
1506741721,3361,3453
1506742321,3363,3455
1506744122,3351,3443
1506744722,3348,3440
1506745322,3349,3441
1506745922,3356,3448
1506746522,3370,3462
1506747722,3373,3465
1506748322,3374,3466
1506748922,3373,3465
1506749522,3374,3466
1506750122,3367,3459
1506751322,3364,3456
1506753122,3364,3455
1506753722,3363,3454
1506754321,3360,3451
1506754922,3361,3452
1506756121,3364,3454
1506757322,3364,3453
1506757922,3363,3452
1506759721,3364,3453
1506760921,3365,3454
1506761521,3363,3452
1506762122,3366,3455
1506763321,3378,3467
1506764522,3376,3465
1506765721,3374,3463
1506766921,3378,3467
1506768122,3377,3466
1506768721,3376,3465
1506769322,3378,3467
1506770522,3377,3466
1506771721,3378,3467
1506772922,3377,3466
1506775322,3382,3472
1506775921,3378,3468
1506777122,3377,3467
1506777722,3375,3465
1506778922,3374,3464
1506781321,3394,3484
1506781921,3395,3485
1506782522,3385,3472
1506783121,3384,3471
1506784321,3381,3467
1506784923,3393,3481
1506786122,3399,3487
1506787321,3399,3487
1506787922,3401,3489
1506788521,3402,3490
1506789121,3411,3500
1506789722,3412,3501
1506790321,3411,3500
1506790922,3412,3501
1506792122,3407,3496
1506792721,3418,3507
1506793321,3424,3513
1506793922,3420,3508
1506794521,3419,3507
1506795721,3413,3501
1506796322,3419,3507
1506796921,3419,3507
1506798121,3417,3505
1506799322,3415,3503
1506801122,3415,3504
1506801721,3414,3503
1506802321,3414,3503
1506803522,3417,3505
1506804121,3423,3511
1506805322,3420,3508
1506805921,3412,3500
